"Response ID","Time Started","Date Submitted","Status","Contact ID","Language","Intro time","Introduction time","Code Instrumentation for IntermittencyWhen we want to transform this simple swap operation to be able to continue where it left off, it needs to be significantly modified.This example is to illustrate the steps required and is therefore not a practical real world example, as transforming every line into a task is often not required. There is no supported way in Python to create a checkpoint and continue on, therefore we split the program into tasks that are assumed to be atomic (they have to be completed before the power fails). After every task (in this case every line in the original swap program is transformed into a separate task) the state of the program and it's variables is stored. And each time a call to `restore()` is made the program continues with the next task. When `checkpoint()` is called the state of the program is stored in non-volatile memory (memory that keeps data even if power is not applied). Bellow there are 3 versions of the same swap program transformed into a task based one. Two of them contain errors in the transformation and one is correct. Please take some time to find which one of the 3 options is the correct one.Option 1Option 2Option 3Please select the option you think is correct.","Instrumentation question time","Intermezzo time","Do you think that a system taking care of program correctness, despite power failures, would help?","Do you think that a system taking care of program correctness, despite power failures, would save your time as a programmer?","Do you think that rewriting a (Python) code such that it will be correct, despite power failures, is a time-consuming task for a programmer?","Do you have any remarks about the problem of intermittent computing?","Final questions time","Considering any programming language: what is your programming experience?","What is your Python language programming experience?","What is your C/C++ programming experience?","Have you ever used any of the open source microcontroller boards such as Adafruit METRO (left) or Arduino Uno (right)?","Have you ever used CircuitPython before?","What is your age?","Self-assessment time"
"40","Sep 9, 2019 5:38:43 am","Sep 9, 2019 5:49:49 am","Complete","","English","11","48","Option 2","314","95","Neutral","Unlikely","Very likely","It takes up too much time","169","Some experience","Some experience","No experience","I have used it once","Never heard of it","18","20"
"41","Sep 9, 2019 5:38:44 am","Sep 9, 2019 5:42:06 am","Complete","","English","9","8","Option 3","98","9","Very likely","Likely","Very likely","","47","A lot of experience","Some experience","No experience","I have used it once","Never heard of it","18","31"
"42","Sep 9, 2019 5:38:45 am","Sep 9, 2019 5:43:28 am","Complete","","English","10","9","Option 1","151","21","Likely","Very unlikely","Very likely","No","55","Some experience","Some experience","No experience","Heard of it","Never heard of it","18","36"
"44","Sep 9, 2019 5:38:48 am","Sep 9, 2019 5:48:50 am","Complete","","English","7","141","Option 3","265","37","Likely","Likely","Likely","No","107","Some experience","No experience","Some experience","Never heard of it","Never heard of it","19","44"
"45","Sep 9, 2019 5:38:50 am","Sep 9, 2019 5:43:10 am","Complete","","English","5","52","Option 3","120","18","Likely","Likely","Likely","","35","Very little experience","Some experience","Some experience","Never heard of it","Heard of it","21","30"
"48","Sep 9, 2019 5:38:50 am","Sep 9, 2019 5:45:32 am","Complete","","English","7","80","Option 2","205","31","Likely","Unlikely","Very likely","","41","Some experience","Very little experience","No experience","I have used it once","I have used it once","18","38"
"49","Sep 9, 2019 5:38:50 am","Sep 9, 2019 5:43:14 am","Complete","","English","7","83","Option 3","69","37","Very likely","Very likely","Very likely","","34","Some experience","No experience","A lot of experience","I have used it more than once","Never heard of it","19","34"
"50","Sep 9, 2019 5:38:43 am","Sep 9, 2019 5:45:05 am","Complete","","English","14","10","Option 3","286","15","Likely","Very likely","Very likely","","32","Some experience","Very little experience","No experience","Never heard of it","Never heard of it","17","25"
"51","Sep 9, 2019 5:38:53 am","Sep 9, 2019 5:44:11 am","Complete","","English","5","5","Option 2","233","6","Neutral","Likely","Very likely","","32","Very little experience","No experience","Very little experience","I have used it once","Never heard of it","20","37"
"52","Sep 9, 2019 5:38:49 am","Sep 9, 2019 5:47:08 am","Complete","","English","8","10","Option 3","372","29","Very likely","Very unlikely","Very likely","","41","Very little experience","No experience","No experience","Heard of it","Never heard of it","18","39"
"53","Sep 9, 2019 5:38:52 am","Sep 9, 2019 5:43:16 am","Complete","","English","5","14","Option 3","113","24","Neutral","Likely","Likely","","67","Some experience","Very little experience","Very little experience","Never heard of it","Never heard of it","18","41"
"54","Sep 9, 2019 5:38:55 am","Sep 9, 2019 5:45:40 am","Complete","","English","3","24","Option 1","263","22","Likely","Unlikely","Very likely","","50","Some experience","Very little experience","Very little experience","Heard of it","Never heard of it","19","43"
"55","Sep 9, 2019 5:38:42 am","Sep 9, 2019 5:47:31 am","Complete","","English","17","77","Option 2","307","29","Unlikely","Unlikely","Likely","","53","Some experience","Very little experience","A lot of experience","Never heard of it","Never heard of it","18","46"
"56","Sep 9, 2019 5:38:42 am","Sep 9, 2019 5:46:26 am","Complete","","English","16","100","Option 2","264","22","Likely","Unlikely","Very likely","","32","Very little experience","No experience","No experience","Never heard of it","Never heard of it","20","30"
"57","Sep 9, 2019 5:38:44 am","Sep 9, 2019 5:43:20 am","Complete","","English","15","8","Option 3","174","7","Neutral","Neutral","Likely","","49","No experience","No experience","No experience","Never heard of it","Never heard of it","19","23"
"58","Sep 9, 2019 5:38:53 am","Sep 9, 2019 5:43:23 am","Complete","","English","6","31","Option 2","94","41","Likely","Very likely","Very likely","","41","Some experience","Some experience","No experience","I have used it more than once","Never heard of it","18","57"
"59","Sep 9, 2019 5:38:49 am","Sep 9, 2019 5:40:48 am","Complete","","English","11","16","Option 2","32","5","Neutral","Neutral","Neutral","","26","Some experience","No experience","Very little experience","Never heard of it","Never heard of it","19","29"
"60","Sep 9, 2019 5:38:53 am","Sep 9, 2019 5:43:41 am","Complete","","English","8","27","Option 2","143","30","Likely","Likely","Likely","I like batteries","51","Some experience","Some experience","Some experience","Heard of it","Never heard of it","20","27"
"61","Sep 9, 2019 5:38:54 am","Sep 9, 2019 5:46:53 am","Complete","","English","6","32","Option 1","244","35","Likely","Likely","Likely","No","120","Some experience","No experience","A lot of experience","Never heard of it","Never heard of it","19","41"
"62","Sep 9, 2019 5:38:41 am","Sep 9, 2019 5:45:57 am","Complete","","English","20","19","Option 2","102","35","Very likely","Very likely","Neutral","While you are saving the function of running the program on a processing unit without a battery there comes the issue of personal use. If these cpus will be used for machine and industrial purposes I can understand the use but what off the application to personal use as I believe people would find it troublesome to have a computer dying all the time even tho the code saves","234","Some experience","No experience","Very little experience","I have used it once","Never heard of it","20","25"
"63","Sep 9, 2019 5:38:48 am","Sep 9, 2019 5:44:11 am","Complete","","English","14","61","Option 2","161","11","Likely","Very likely","Very likely","","47","Some experience","Very little experience","Some experience","I have used it once","Never heard of it","18","29"
"64","Sep 9, 2019 5:38:56 am","Sep 9, 2019 5:43:36 am","Complete","","English","5","13","Option 1","78","59","Likely","Very likely","Neutral","","82","Very little experience","Very little experience","Very little experience","Never heard of it","Never heard of it","20","43"
"65","Sep 9, 2019 5:38:54 am","Sep 9, 2019 5:45:29 am","Complete","","English","8","79","Option 2","223","8","Likely","Likely","Likely","","31","Some experience","Very little experience","Some experience","I have used it once","Heard of it","19","46"
"66","Sep 9, 2019 5:38:54 am","Sep 9, 2019 5:44:56 am","Complete","","English","7","40","Option 2","189","30","Very likely","Very likely","Very likely","","61","Very little experience","Very little experience","No experience","Never heard of it","Never heard of it","18","35"
"67","Sep 9, 2019 5:38:47 am","Sep 9, 2019 5:40:51 am","Complete","","English","14","5","Option 1","42","6","Very likely","Neutral","Likely","No","28","Some experience","No experience","Some experience","I have used it more than once","Never heard of it","19","28"
"68","Sep 9, 2019 5:38:47 am","Sep 9, 2019 5:48:28 am","Complete","","English","14","74","Option 2","237","24","Likely","Very likely","Very likely","There should be a fairly reliable source of reusable energy in order for this to be a good solution for the extensive use of batteries. I, as a user, would not choose this solution if it does not have a reliable energy source.","183","A lot of experience","A lot of experience","A lot of experience","I have used it more than once","Heard of it","18","48"
"69","Sep 9, 2019 5:38:52 am","Sep 9, 2019 5:45:12 am","Complete","","English","10","76","Option 2","164","39","Very likely","Likely","Neutral","","52","Some experience","Some experience","No experience","Never heard of it","Never heard of it","19","39"
"71","Sep 9, 2019 5:38:55 am","Sep 9, 2019 5:48:29 am","Complete","","English","7","67","Option 2","349","30","Likely","Unlikely","Likely","","73","Some experience","Very little experience","Very little experience","I have used it more than once","Heard of it","18","48"
"72","Sep 9, 2019 5:38:55 am","Sep 9, 2019 5:51:34 am","Complete","","English","7","57","Option 2","558","23","Likely","Likely","Very likely","","69","Some experience","Very little experience","Some experience","I have used it more than once","Never heard of it","19","44"
"74","Sep 9, 2019 5:38:54 am","Sep 9, 2019 5:43:58 am","Complete","","English","8","23","Option 2","155","22","Very likely","Neutral","Likely","","44","Some experience","Very little experience","Some experience","Heard of it","Never heard of it","19","52"
"75","Sep 9, 2019 5:38:57 am","Sep 9, 2019 5:47:25 am","Complete","","English","7","93","Option 2","214","30","Unlikely","Very likely","Likely","","130","A lot of experience","Some experience","Expert","Heard of it","Never heard of it","18","34"
"76","Sep 9, 2019 5:38:55 am","Sep 9, 2019 5:47:39 am","Complete","","English","9","19","Option 3","231","46","Very likely","Unlikely","Likely","Isn't the type of memory that doesn't lose its values when no energy is supplied cost more? (Money wise)","185","Very little experience","No experience","No experience","I have used it once","Never heard of it","17","34"
